"DEAL","TAG","POSITION_SC_DATE_ADJUSTED","FUND_NAME","STRATEGY","SUB_STRATEGY","ACTIVE_HEDGE","BOOK_NAME","CASH_BALANCE","GL_NAV_FOR_BOOK","GL_NAV","DAILY_PNL","MTD_PNL","YTD_PNL","ITD_PNL"
"ECM","Financing","1/31/2024","Alternative Fund Gamma Holdings I LP","Capital Market Solutions","Financing","Missing Active Hedge","Expenses","","-1391.13","-421037.74","-1391.13","-1391.13","-1391.13","-1391.13"
"N/A","N/A","1/31/2024","Alternative Fund Gamma Holdings I LP","","","","","","","-421037.74","0.00","0.00","0.00","0.00"
"N/A","Subline","1/31/2024","Alternative Fund Gamma Holdings I LP","Operating ","Subline","Missing Active Hedge","Unfunded","","-5821.88","-421037.74","-162.12","-5103.13","-5103.13","-5821.88"
"N/A","Cash","1/31/2024","Alternative Fund Gamma Holdings I LP","Operating ","Cash","Missing Active Hedge","Financing","0.01","0.01","-421037.74","0.01","0.01","0.01","0.01"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Desk Block","Missing Active Hedge","EMN_Desk Block","243.48","243.48","34237429.12","0.00","243.48","243.48","243.48"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","PCG_Marketed FO_Convert","-325802.16","-9489.09","34237429.12","656.07","-9489.09","-9489.09","-9489.09"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","BBIO_Marketed FO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","EYPT_Marketed FO","2307.48","2307.48","34237429.12","0.00","2307.48","2307.48","2307.48"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Registered Block","Missing Active Hedge","AKR_Registered Block","628.43","628.43","34237429.12","0.00","628.43","628.43","628.43"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","TKO_Unregistered Block","","","34237429.12","0.00","0.00","0.00","0.00"
